Data,Nome_produto,Descrição,Tipo,Preço
2023-08-12,Regina,Chocolate leite regina 24gr classic,Chocolates,645
2023-08-12,Cadbury,Barra chocolate cadbury lunch bar 48gr,Chocolates,1.140
2023-08-12,Twix,Chocolate twix 50gr,Chocolates,1.585
2023-08-12,Bounty,Chocolate bounty 57gr,Chocolates,1.585
2023-08-12,Mars,Chocolate mars 51gr,Chocolates,1.585
2023-08-12,Snickers,Chocolate snickers 50gr,Chocolates,1.585
2023-08-12,Schogetten,Chocolate negro schogetten 100gr,Chocolates,1.930
2023-08-12,Cadbury,Chocolate cadbury dairy milk 80gr wholenut,Chocolates,1.980
2023-08-12,Cadbury,Chocolate cadbury dairy milk 80gr coconut,Chocolates,1.980
2023-08-12,Cadbury,Chocolate cadbury dairy milk 80gr original,Chocolates,1.980
2023-08-12,Gorila,Pastilha elastica super gorila banana,Gomas/Pastilhas,295
2023-08-12,Gorila,Pastilha elastica super gorila morango,Gomas/Pastilhas,295
2023-08-12,Gorila,Pastilha elastica super gorila tutti-frutti,Gomas/Pastilhas,295
2023-08-12,Interdoces,Gomas guloseimas interdoces 90gr tijolos,Gomas/Pastilhas,555
2023-08-12,Interdoces,Gomas sortido interdoces 90gr brilho,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas sortido interdoces 90gr açucar,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas sortido interdoces 90gr acido,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas guloseimas interdoces 90gr minhocas acidas,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas guloseimas interdoces 90gr bananas,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas guloseimas interdoces 90gr beijinhos,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas guloseimas interdoces 90gr garrafas cola,Gomas/Pastilhas,810
2023-08-12,Interdoces,Gomas guloseimas interdoces 90gr morangos,Gomas/Pastilhas,810
2023-08-12,Lykon,Rebuçados lykon top candy 400gr menta,Rebuçados/Pirulito,840
2023-08-12,Lusiteca,Rebuçados mentol lusiteca 100gr,Rebuçados/Pirulito,1.980
2023-08-12,Penha,Rebuçados de fruta penha 100gr,Rebuçados/Pirulito,1.980
2023-08-12,Penha,Rebuçados caramelos leite penha 100gr,Rebuçados/Pirulito,1.980
2023-08-12,Penha,Rebuçados recheio mel penha 100gr,Rebuçados/Pirulito,1.980
2023-08-12,Penha,Rebuçados recheio morango penha 100gr,Rebuçados/Pirulito,1.980
2023-08-12,Penha,Rebuçados recheio fruta penha 100gr,Rebuçados/Pirulito,1.980
2023-08-12,Vieira Castro,Amendoas vieira castro lisa cores 100gr,Amêndoas,1.185
2023-08-12,Vieira Castro,Amendoas vieira castro tipo frances 100gr,Amêndoas,1.285
2023-08-12,Vieira Castro,Amendoas vieira castro paris 200gr,Amêndoas,2.670
2023-08-12,Biagio,Aroma artificial biagio 30ml limao,Aromas/Enfeites,645
2023-08-12,Foster,Aroma artificial foster clark`s 28ml baunilha,Aromas/Enfeites,990
2023-08-12,Foster,Aroma artificial foster clark`s 28ml morango,Aromas/Enfeites,990
2023-08-12,Alimo,Topping alimo 290ml morango,Aromas/Enfeites,1.980
2023-08-12,Donna Bia,Decoraçao p/bolos vermicelli donna bia 85ml cacau,Aromas/Enfeites,2.275
2023-08-12,Alimo,Coco ralado alimo 100gr,Coco/Cacau,890
2023-08-12,Ferbar,Coco ralado ferbar 100gr,Coco/Cacau,1.155
2023-08-12,Donna Bia,Coco ralado donna bia saco 100gr,Coco/Cacau,1.445
2023-08-12,Alimo,Coco ralado alimo 200gm,Coco/Cacau,1.585
2023-08-12,Donna Bia,Cacau em po donna bia 85ml,Coco/Cacau,1.810
2023-08-12,Perdiz,Coco ralado perdiz 200gr,Coco/Cacau,2.155
2023-08-12,Quente E Bom,Cacau em po q&b 200gr,Coco/Cacau,2.870
2023-08-12,Quente E Bom,Coco ralado q&b 200gr,Coco/Cacau,3.165
2023-08-12,Quente E Bom,Granulado de chocolate q&b 200gr,Coco/Cacau,3.165
2023-08-12,Donna Bia,Cacau em po donna bia 200ml,Coco/Cacau,3.435
2023-08-12,Quente E Bom,Chocolate negro 70% cacau q&b 200gr,Coco/Cacau,3.760
2023-08-12,La Granda,Fermento bolo la granda 50gr,Fermento,245
2023-08-12,Royal,Fermento em po royal baking powder 50gr,Fermento,650
2023-08-12,Donna Bia,Bicarbonato sodio donna bia 85ml,Fermento,1.185
2023-08-12,Foster Clark´s,Fermento p/bolos foster clark´s 110gr,Fermento,1.285
2023-08-12,Amanhecer,Fermento po amanhecer 150gr,Fermento,2.275
2023-08-12,Biagio,Preparado bolo coco biagio 450gr,Massa Pronta,1.880
2023-08-12,Biagio,Preparado bolo red velvet biagio 450gr,Massa Pronta,1.880
2023-08-12,Quente E Bom,Preparado p/bolo cake 500gr ananas,Massa Pronta,3.265
2023-08-12,Quente E Bom,Preparado p/bolo cake 500gr chocolate,Massa Pronta,3.265
2023-08-12,Quente E Bom,Preparado p/bolo cake 500gr cenoura,Massa Pronta,3.660
2023-08-12,Quente E Bom,Preparado p/bolo cake 500gr laranja,Massa Pronta,3.660
2023-08-12,Foster,Gelatina foster clark`s 85gr morango,Gelatina/Leite creme,690
2023-08-12,Biagio,Mousse maracuja biagio 100gr,Gelatina/Leite creme,1.185
2023-08-12,Biagio,Gelatina biagio 170gr tutti frutti,Gelatina/Leite creme,1.285
2023-08-12,Quente E Bom,Chantilly em po q&b 200gr,Gelatina/Leite creme,3.165
